subject_id,annotations
38185830,[[{'text': '*2629'}]]
38185832,
38185833,
38185834,"[[{'text': '*1076'}], [{'text': '*1125'}], [{'text': '*1126'}], [{'text': '*1179'}]]"
38185835,[[{'text': '*1876'}]]
38185836,[[{'text': '1876'}]]
38185837,"[[{'text': 'A7726'}], [{'text': 'A6442'}], [{'text': 'A6438'}], [{'text': 'A6426'}], [{'text': 'A6428'}], [{'text': 'A6433'}], [{'text': 'A6433'}], [{'text': 'A9684'}], [{'text': 'A6481'}], [{'text': 'A6476'}], [{'text': 'A6476'}], [{'text': 'A6475'}], [{'text': 'A6432'}], [{'text': 'A6429'}], [{'text': 'A6464'}], [{'text': 'A6463'}], [{'text': 'A6463'}], [{'text': 'A5788'}], [{'text': 'A5788'}], [{'text': 'A5789'}], [{'text': 'A5785'}], [{'text': 'A5796'}], [{'text': 'A5794'}], [{'text': 'A5799'}], [{'text': 'A5856'}], [{'text': 'A5849'}], [{'text': 'A5800'}], [{'text': 'A5801'}], [{'text': 'A5842'}], [{'text': 'A5847'}]]"
38185838,[[{'text': '*1104'}]]
38185839,
38185840,"[[{'text': 'B8854'}], [{'text': 'B4450'}]]"
38185841,"[[{'text': 'I284'}], [{'text': 'I3455'}], [{'text': 'i3528'}], [{'text': 'i16611'}], [{'text': 'i17974'}], [{'text': 'i22178'}]]"
38185842,[[{'text': '*2692'}]]
38185843,
38185844,
38185845,"[[{'text': 'B10903'}], [{'text': 'B10866'}], [{'text': 'B20602'}], [{'text': 'B20603'}]]"
38185847,"[[{'text': '*16162'}], [{'text': 'B39298'}], [{'text': 'B19113'}], [{'text': 'B39090'}], [{'text': 'B33836'}], [{'text': 'B32491'}], [{'text': 'B16037'}], [{'text': 'B29605'}], [{'text': 'B25424'}], [{'text': 'B36868'}], [{'text': 'B29853'}], [{'text': 'B32650'}], [{'text': 'B38031'}], [{'text': 'B27154'}], [{'text': 'B22510'}], [{'text': 'B29570'}], [{'text': 'B39298'}]]"
38185848,"[[{'text': 'B1729'}], [{'text': 'B8259'}], [{'text': 'B1791'}], [{'text': 'B1899'}], [{'text': 'B2482'}], [{'text': 'B2560'}], [{'text': 'B3044'}], [{'text': 'B3181'}], [{'text': 'B2014'}], [{'text': 'B2015'}], [{'text': 'B2509'}], [{'text': 'B2515'}], [{'text': 'B2562'}], [{'text': 'B2673'}], [{'text': 'B2540'}], [{'text': 'B2572'}], [{'text': 'B2630'}], [{'text': 'B2661'}], [{'text': 'B2512'}], [{'text': 'B2563'}], [{'text': 'B2511'}], [{'text': 'B2669'}], [{'text': 'B2671'}], [{'text': 'B2552'}], [{'text': 'B10128'}], [{'text': 'B1702'}], [{'text': 'B1693'}], [{'text': 'B1880'}], [{'text': 'B3128'}]]"
38185849,
38185850,
38185851,"[[{'text': '*5003'}], [{'text': '*5006'}], [{'text': '*5008'}], [{'text': '*5009'}], [{'text': '*5010'}], [{'text': '*5012'}], [{'text': '*5057'}], [{'text': '*5060'}], [{'text': '*5071'}], [{'text': '*5108'}], [{'text': '*5134'}], [{'text': '*5136'}], [{'text': '*5151'}], [{'text': '*5152'}], [{'text': '*5156'}], [{'text': '*5178'}], [{'text': '*5199'}]]"
38185853,"[[{'text': 'C4492'}], [{'text': 'C4504'}], [{'text': 'C4489'}], [{'text': 'C4498'}], [{'text': 'C4511'}], [{'text': 'C4504'}], [{'text': 'C4523'}], [{'text': 'C4525'}], [{'text': 'C4529'}]]"
38185854,
38185855,"[[{'text': 'B17687'}], [{'text': 'I5536'}], [{'text': 'I5045'}], [{'text': 'B18041'}], [{'text': 'I3305'}]]"
38185857,
38185858,
38185859,
38185860,
38185861,
38185862,
38185864,"[[{'text': 'B4837'}], [{'text': 'B5300'}], [{'text': 'B9714'}], [{'text': 'B9262'}], [{'text': 'B11176'}], [{'text': 'B13567'}], [{'text': 'B9263'}], [{'text': 'B5168'}]]"
38185866,
38185867,
38185869,"[[{'text': 'B180'}], [{'text': 'I263'}], [{'text': 'I2609'}], [{'text': 'I4347'}], [{'text': 'I4739'}]]"
38185870,[[{'text': '*498'}]]
38185871,[[{'text': 'B3579'}]]
38185872,
38185874,
38185875,"[[{'text': '*4092'}], [{'text': '*4092'}], [{'text': '*4092'}], [{'text': '*4094'}], [{'text': '*4109'}], [{'text': '*4109'}], [{'text': '*4109'}], [{'text': '*4109'}], [{'text': '*4110'}], [{'text': '*4110'}], [{'text': '*4111'}], [{'text': '*4111'}], [{'text': '*4118'}], [{'text': '*4119'}], [{'text': '*4119'}], [{'text': '*4120'}], [{'text': '*4120'}], [{'text': '*4170'}], [{'text': '*4171'}], [{'text': '*4171'}], [{'text': '*4194'}], [{'text': '*4223'}], [{'text': '*4223'}], [{'text': '*4223'}], [{'text': '*4223'}], [{'text': '*4223'}], [{'text': '*4224'}], [{'text': '*4224'}], [{'text': '*4224'}], [{'text': '*4225'}], [{'text': '*3367'}]]"
38185876,
38185877,
38185880,
38185881,"[[{'text': '*602'}], [{'text': '*1126'}], [{'text': '*305'}], [{'text': '*480'}], [{'text': '*1198'}], [{'text': '*1247'}], [{'text': '*1442'}]]"
38185882,"[[{'text': 'B602'}], [{'text': '*1126'}], [{'text': '*305'}], [{'text': '*480'}], [{'text': '*1198'}], [{'text': '*1247'}], [{'text': '*1442'}], [{'text': '*1061'}], [{'text': '*1353'}], [{'text': '*978'}]]"
